file,pattern,matches,status
CHANGELOG_FROM_UNIFIED_DOCUMENT_v1.md,universal law is proven,0,PASS
CHANGELOG_FROM_UNIFIED_DOCUMENT_v1.md,theory of everything has been completed,0,PASS
CHANGELOG_FROM_UNIFIED_DOCUMENT_v1.md,PENDING_FINAL,0,PASS
CHANGELOG_FROM_UNIFIED_DOCUMENT_v1.md,TO BE ADDED,0,PASS
CHANGELOG_FROM_UNIFIED_DOCUMENT_v1.md,Complex Systems,0,PASS
CHANGELOG_FROM_UNIFIED_DOCUMENT_v1.md,npj,0,PASS
README.md,universal law is proven,0,PASS
README.md,theory of everything has been completed,0,PASS
README.md,PENDING_FINAL,0,PASS
README.md,TO BE ADDED,0,PASS
README.md,Complex Systems,0,PASS
README.md,npj,0,PASS
01_mathematical_theory_formal_companion/PETU_Mathematical_Theory_Formal_Companion_v1.tex,universal law is proven,0,PASS
01_mathematical_theory_formal_companion/PETU_Mathematical_Theory_Formal_Companion_v1.tex,theory of everything has been completed,0,PASS
01_mathematical_theory_formal_companion/PETU_Mathematical_Theory_Formal_Companion_v1.tex,PENDING_FINAL,0,PASS
01_mathematical_theory_formal_companion/PETU_Mathematical_Theory_Formal_Companion_v1.tex,TO BE ADDED,0,PASS
01_mathematical_theory_formal_companion/PETU_Mathematical_Theory_Formal_Companion_v1.tex,Complex Systems,0,PASS
01_mathematical_theory_formal_companion/PETU_Mathematical_Theory_Formal_Companion_v1.tex,npj,0,PASS
01_mathematical_theory_formal_companion/PETU_Mathematical_Theory_Formal_Companion_v1.md,universal law is proven,0,PASS
01_mathematical_theory_formal_companion/PETU_Mathematical_Theory_Formal_Companion_v1.md,theory of everything has been completed,0,PASS
01_mathematical_theory_formal_companion/PETU_Mathematical_Theory_Formal_Companion_v1.md,PENDING_FINAL,0,PASS
01_mathematical_theory_formal_companion/PETU_Mathematical_Theory_Formal_Companion_v1.md,TO BE ADDED,0,PASS
01_mathematical_theory_formal_companion/PETU_Mathematical_Theory_Formal_Companion_v1.md,Complex Systems,0,PASS
01_mathematical_theory_formal_companion/PETU_Mathematical_Theory_Formal_Companion_v1.md,npj,0,PASS
01_mathematical_theory_formal_companion/README_Mathematical_Theory_v1.md,universal law is proven,0,PASS
01_mathematical_theory_formal_companion/README_Mathematical_Theory_v1.md,theory of everything has been completed,0,PASS
01_mathematical_theory_formal_companion/README_Mathematical_Theory_v1.md,PENDING_FINAL,0,PASS
01_mathematical_theory_formal_companion/README_Mathematical_Theory_v1.md,TO BE ADDED,0,PASS
01_mathematical_theory_formal_companion/README_Mathematical_Theory_v1.md,Complex Systems,0,PASS
01_mathematical_theory_formal_companion/README_Mathematical_Theory_v1.md,npj,0,PASS
02_strong_predictions_preregistered_tests/PETU_Strong_Predictions_Preregistered_Tests_v1.tex,universal law is proven,0,PASS
02_strong_predictions_preregistered_tests/PETU_Strong_Predictions_Preregistered_Tests_v1.tex,theory of everything has been completed,0,PASS
02_strong_predictions_preregistered_tests/PETU_Strong_Predictions_Preregistered_Tests_v1.tex,PENDING_FINAL,0,PASS
02_strong_predictions_preregistered_tests/PETU_Strong_Predictions_Preregistered_Tests_v1.tex,TO BE ADDED,0,PASS
02_strong_predictions_preregistered_tests/PETU_Strong_Predictions_Preregistered_Tests_v1.tex,Complex Systems,0,PASS
02_strong_predictions_preregistered_tests/PETU_Strong_Predictions_Preregistered_Tests_v1.tex,npj,0,PASS
02_strong_predictions_preregistered_tests/PETU_Strong_Predictions_Preregistered_Tests_v1.md,universal law is proven,0,PASS
02_strong_predictions_preregistered_tests/PETU_Strong_Predictions_Preregistered_Tests_v1.md,theory of everything has been completed,0,PASS
02_strong_predictions_preregistered_tests/PETU_Strong_Predictions_Preregistered_Tests_v1.md,PENDING_FINAL,0,PASS
02_strong_predictions_preregistered_tests/PETU_Strong_Predictions_Preregistered_Tests_v1.md,TO BE ADDED,0,PASS
02_strong_predictions_preregistered_tests/PETU_Strong_Predictions_Preregistered_Tests_v1.md,Complex Systems,0,PASS
02_strong_predictions_preregistered_tests/PETU_Strong_Predictions_Preregistered_Tests_v1.md,npj,0,PASS
02_strong_predictions_preregistered_tests/README_Strong_Predictions_v1.md,universal law is proven,0,PASS
02_strong_predictions_preregistered_tests/README_Strong_Predictions_v1.md,theory of everything has been completed,0,PASS
02_strong_predictions_preregistered_tests/README_Strong_Predictions_v1.md,PENDING_FINAL,0,PASS
02_strong_predictions_preregistered_tests/README_Strong_Predictions_v1.md,TO BE ADDED,0,PASS
02_strong_predictions_preregistered_tests/README_Strong_Predictions_v1.md,Complex Systems,0,PASS
02_strong_predictions_preregistered_tests/README_Strong_Predictions_v1.md,npj,0,PASS
